longName,symbol,marketCap,exchange,processed_long_name,rating
"Amazon.com, Inc.",AMZN,1811770245120,NMS,"Amazon,",4.0
Walmart Inc.,WMT,488643297280,NYQ,Walmart,3.6
McDonald's Corporation,MCD,201553330176,NYQ,McDonald's,3.7
Target Corporation,TGT,75818729472,NYQ,Target,4.0
Accenture plc,ACN,234871209984,NYQ,Accenture,4.2
Microsoft Corporation,MSFT,3094183936000,NMS,Microsoft,4.3
Starbucks Corporation,SBUX,102035668992,NMS,Starbucks,4.0
Cognizant Technology Solutions Corporation,CTSH,37502439424,NMS,Cognizant Technology Solutions,3.8
The Walt Disney Company,DIS,205349879808,NYQ,The Walt Disney,4.0
Morgan Stanley,MS,144525164544,NYQ,Morgan Stanley,4.0
Honeywell International Inc.,HON,128929865728,NMS,Honeywell International,4.2
The Hershey Company,HSY,39472480256,NYQ,The Hershey,3.8
"Keysight Technologies, Inc.",KEYS,26148489216,NYQ,"Keysight Technologies,",4.2
Weyerhaeuser Company,WY,25044457472,NYQ,Weyerhaeuser,3.7
Mobileye Global Inc.,MBLY,22364846080,NMS,Mobileye Global,4.4
W. R. Berkley Corporation,WRB,21937504256,NYQ,W. R. Berkley,4.1
"The Home Depot, Inc.",HD,369876926464,NYQ,"The Home Depot,",4.0
Apple Inc.,AAPL,2665580593152,NMS,Apple,4.3
Wells Fargo & Company,WFC,205738573824,NYQ,Wells Fargo &,3.9
Oracle Corporation,ORCL,345047957504,NYQ,Oracle,4.0
CVS Health Corporation,CVS,97404035072,NYQ,CVS Health,3.6
Bank of America Corporation,BAC,279407558656,NYQ,Bank of America,4.2
AT&amp;T Inc. 5.35% GLB NTS 66,TBB,148582678528,NYQ,AT&amp;T  5.35% GLB NTS 66,3.9
QUALCOMM Incorporated,QCOM,186595196928,NMS,QUALCOMM,4.0
"Cisco Systems, Inc.",CSCO,198126862336,NMS,"Cisco Systems,",4.4
Verizon Communications Inc.,VZ,166026625024,NYQ,Verizon Communications,4.1
"Meta Platforms, Inc.",META,1234169364480,NMS,"Meta Platforms,",4.0
Citigroup Inc.,C,110114029568,NYQ,Citigroup,4.0
"First Citizens BancShares, Inc.",FCNCA,22245068800,NMS,"First Citizens BancShares,",4.0
Dell Technologies Inc.,DELL,75577843712,NYQ,Dell Technologies,4.3
Capital One Financial Corporation,COF,51559559168,NYQ,Capital One Financial,4.0
Enterprise Products Partners L.P.,EPD,62098681856,NYQ,Enterprise Products Partners L.P.,4.1
Public Service Enterprise Group Incorporated,PEG,31799879680,NYQ,Public Service Enterprise Group,4.1
"Axon Enterprise, Inc.",AXON,23166906368,NMS,"Axon Enterprise,",4.1
Hewlett Packard Enterprise Company,HPE,21746155520,NYQ,Hewlett Packard Enterprise,4.1
"Salesforce, Inc.",CRM,285500080128,NYQ,"Salesforce,",4.3
"T-Mobile US, Inc.",TMUS,192047431680,NMS,"T-Mobile US,",4.1
"The Goldman Sachs Group, Inc.",GS,126061248512,NYQ,"The Goldman Sachs Group,",4.0
The Kroger Co.,KR,40363200512,NYQ,The Kroger Co.,3.5
Comcast Corporation,CMCSA,169876455424,NMS,Comcast,4.1
Comcast Holdings Corp.,CCZ,52580958208,NYQ,Comcast Holdings Corp.,4.1
The Boeing Company,BA,111367938048,NYQ,The Boeing,3.9
Lockheed Martin Corporation,LMT,105312854016,NYQ,Lockheed Martin,4.1
"Chipotle Mexican Grill, Inc.",CMG,75583520768,NYQ,"Chipotle Mexican Grill,",3.9
"PepsiCo, Inc.",PEP,226313633792,NMS,"PepsiCo,",4.1
UnitedHealth Group Incorporated,UNH,452503666688,NYQ,UnitedHealth Group,4.0
SAP SE,SAP,223593644032,NYQ,SAP SE,4.4
"Marriott International, Inc.",MAR,70654607360,NMS,"Marriott International,",4.2
Northrop Grumman Corporation,NOC,69279121408,NYQ,Northrop Grumman,4.1
Costco Wholesale Corporation,COST,321819803648,NMS,Costco Wholesale,4.0
General Electric Company,GE,184642371584,NYQ,General Electric,4.1
Amgen Inc.,AMGN,144092545024,NMS,Amgen,4.1
"Regeneron Pharmaceuticals, Inc.",REGN,105862152192,NMS,"Regeneron Pharmaceuticals,",4.0
"Waste Management, Inc.",WM,84548427776,NYQ,"Waste Management,",4.4
Diageo plc,DEO,83108823040,NYQ,Diageo,4.1
"Intercontinental Exchange, Inc.",ICE,77097017344,NYQ,"Intercontinental Exchange,",3.6
Schlumberger Limited,SLB,75729403904,NYQ,Schlumberger Limited,4.1
Enbridge Inc.,ENB,75500961792,NYQ,Enbridge,4.1
General Dynamics Corporation,GD,75402035200,NYQ,General Dynamics,4.1
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,66181480448,NYQ,"Banco Bilbao Vizcaya Argentaria, S.A.",3.7
Monster Beverage Corporation,MNST,63309283328,NMS,Monster Beverage,3.7
"Apollo Global Management, Inc.",APO,62730661888,NYQ,"Apollo Global Management,",3.9
"W.W. Grainger, Inc.",GWW,48856580096,NYQ,"W.W. Grainger,",4.2
Public Storage,PSA,48808353792,NYQ,Public Storage,4.1
General Motors Company,GM,46973751296,NYQ,General Motors,4.1
Ares Management Corporation,ARES,41152266240,NYQ,Ares Management,3.7
GE HealthCare Technologies Inc.,GEHC,40713469952,NMS,GE HealthCare Technologies,4.3
"General Mills, Inc.",GIS,37912338432,NYQ,"General Mills,",4.2
Ingersoll Rand Inc.,IR,36498853888,NYQ,Ingersoll Rand,4.2
Dollar General Corporation,DG,33352566784,NYQ,Dollar General,4.1
Biogen Inc.,BIIB,31879118848,NMS,Biogen,4.1
Orange S.A.,ORAN,30515906560,NYQ,Orange S.A.,4.1
Extra Space Storage Inc.,EXR,30483869696,NYQ,Extra Space Storage,4.5
Deutsche Bank Aktiengesellschaft,DB,29541595136,NYQ,Deutsche Bank Aktiengesellschaft,3.8
"Broadridge Financial Solutions, Inc.",BR,23577954304,NYQ,"Broadridge Financial Solutions,",4.1
Rogers Communications Inc.,RCI,22668740608,NYQ,Rogers Communications,4.4
argenx SE,ARGX,22589974528,NMS,argenx SE,4.1
American Express Company,AXP,158136647680,NYQ,American Express,4.4
CGI Inc.,GIB,27170234368,NYQ,CGI,4.1
"NIKE, Inc.",NKE,150966550528,NYQ,"NIKE,",4.2
"Tesla, Inc.",TSLA,520936128512,NMS,"Tesla,",3.8
"The PNC Financial Services Group, Inc.",PNC,59191377920,NYQ,"The PNC Financial Services Group,",4.0
Barclays PLC,BCS,34569490432,NYQ,Barclays PLC,4.1
UBS Group AG,UBS,102458580992,NYQ,UBS Group AG,4.0
"HubSpot, Inc.",HUBS,30460440576,NYQ,"HubSpot,",4.0
HSBC Holdings plc,HSBC,145234296832,NYQ,HSBC Holdings,4.0
"Ulta Beauty, Inc.",ULTA,26027991040,NMS,"Ulta Beauty,",3.9
"Honda Motor Co., Ltd.",HMC,58294235136,NYQ,"Honda Motor Co., Ltd.",3.7
Nu Holdings Ltd.,NU,55332564992,NYQ,Nu Holdings Ltd.,4.3
TE Connectivity Ltd.,TEL,42972471296,NYQ,TE Connectivity Ltd.,3.9
Woodside Energy Group Ltd,WDS,37301473280,NYQ,Woodside Energy Group Ltd,4.0
Arch Capital Group Ltd.,ACGL,34376994816,NMS,Arch Capital Group Ltd.,4.0
Royal Caribbean Cruises Ltd.,RCL,33087318016,NYQ,Royal Caribbean Cruises Ltd.,3.7
"Chunghwa Telecom Co., Ltd.",CHT,30114308096,NYQ,"Chunghwa Telecom Co., Ltd.",3.9
Garmin Ltd.,GRMN,27951497216,NYQ,Garmin Ltd.,4.3
Nutrien Ltd.,NTR,26596040704,NYQ,Nutrien Ltd.,4.3
Deckers Outdoor Corporation,DECK,23352928256,NYQ,Deckers Outdoor,3.7
"ASE Technology Holding Co., Ltd.",ASX,23303548928,NYQ,"ASE Technology Holding Co., Ltd.",3.8
Ford Motor Company,F,47921979392,NYQ,Ford Motor,4.1
NVIDIA Corporation,NVDA,2195912523776,NMS,NVIDIA,4.3
Thomson Reuters Corporation,TRI,71058481152,NYQ,Thomson Reuters,4.4
The Allstate Corporation,ALL,42669469696,NYQ,The Allstate,3.8
Thermo Fisher Scientific Inc.,TMO,222743412736,NYQ,Thermo Fisher Scientific,3.8
Intuit Inc.,INTU,175132475392,NMS,Intuit,4.5
"Intuitive Surgical, Inc.",ISRG,140461047808,NMS,"Intuitive Surgical,",4.1
"CBRE Group, Inc.",CBRE,28493924352,NYQ,"CBRE Group,",4.0
Medtronic plc,MDT,110965915648,NYQ,Medtronic,4.1
RTX Corporation,RTX,123563442176,NYQ,RTX,3.8
JPMorgan Chase & Co.,JPM,548134420480,NYQ,JPMorgan Chase & Co.,4.2
Hilton Worldwide Holdings Inc.,HLT,51607269376,NYQ,Hilton Worldwide Holdings,4.1
"Ross Stores, Inc.",ROST,48856965120,NMS,"Ross Stores,",3.7
FedEx Corporation,FDX,63295393792,NYQ,FedEx,3.9
"HCA Healthcare, Inc.",HCA,85160747008,NYQ,"HCA Healthcare,",3.6
IQVIA Holdings Inc.,IQV,45996761088,NYQ,IQVIA Holdings,4.1
"Delta Air Lines, Inc.",DAL,27740131328,NYQ,"Delta Air Lines,",4.3
"Banco Santander, S.A.",SAN,70491488256,NYQ,"Banco Santander, S.A.",4.1
Banco Santander (Brasil) S.A.,BSBR,42733490176,NYQ,Banco Santander (Brasil) S.A.,4.1
Abbott Laboratories,ABT,200395931648,NYQ,Abbott Laboratories,3.8
Adobe Inc.,ADBE,222860787712,NMS,Adobe,4.4
"PayPal Holdings, Inc.",PYPL,67358859264,NMS,"PayPal Holdings,",4.0
The Sherwin-Williams Company,SHW,85036097536,NYQ,The Sherwin-Williams,3.8
Pfizer Inc.,PFE,158211358720,NYQ,Pfizer,4.0
The Charles Schwab Corporation,SCHW,122305773568,NYQ,The Charles Schwab,3.9
State Street Corporation,STT,21890940928,NYQ,State Street,3.7
Cummins Inc.,CMI,38987976704,NYQ,Cummins,4.4
The Coca-Cola Company,KO,258230091776,NYQ,The Coca-Cola,4.1
Humana Inc.,HUM,41969135616,NYQ,Humana,4.1
"Fiserv, Inc.",FI,88342003712,NYQ,"Fiserv,",3.8
Caterpillar Inc.,CAT,173268828160,NYQ,Caterpillar,4.0
"Gartner, Inc.",IT,36720545792,NYQ,"Gartner,",4.1
"ServiceNow, Inc.",NOW,152501551104,NYQ,"ServiceNow,",4.5
"The Travelers Companies, Inc.",TRV,50620805120,NYQ,"The Travelers Companies,",4.3
HP Inc.,HPQ,29765392384,NYQ,HP,4.4
GSK plc,GSK,87678828544,NYQ,GSK,4.1
Lululemon Athletica Inc.,LULU,58671243264,NMS,Lululemon Athletica,4.2
Johnson Controls International plc,JCI,43063795712,NYQ,Johnson Controls International,3.8
Shell plc,SHEL,212028358656,NYQ,Shell,4.2
Stryker Corporation,SYK,133940396032,NYQ,Stryker,4.1
"Merck & Co., Inc.",MRK,307766394880,NYQ,"Merck & Co.,",4.2
The Cigna Group,CI,102923575296,NYQ,The Cigna Group,3.9
Visa Inc.,V,581384011776,NYQ,Visa,4.2
Sanofi,SNY,120676237312,NMS,Sanofi,4.1
"Elevance Health, Inc.",ELV,119377813504,NYQ,"Elevance Health,",3.9
eBay Inc.,EBAY,27039600640,NMS,eBay,4.2
"Digital Realty Trust, Inc.",DLR,44898140160,NYQ,"Digital Realty Trust,",4.4
"PPG Industries, Inc.",PPG,32446867456,NYQ,"PPG Industries,",4.0
LyondellBasell Industries N.V.,LYB,32423094272,NYQ,LyondellBasell Industries N.V.,3.9
Unilever PLC,UL,124592422912,NYQ,Unilever PLC,4.3
"BlackRock, Inc.",BLK,119528939520,NYQ,"BlackRock,",4.0
Novartis AG,NVS,198822789120,NYQ,Novartis AG,4.1
"Uber Technologies, Inc.",UBER,157959356416,NYQ,"Uber Technologies,",4.0
Texas Instruments Incorporated,TXN,157002858496,NMS,Texas Instruments,4.2
"Prudential Financial, Inc.",PRU,40533934080,NYQ,"Prudential Financial,",3.9
Prudential plc,PUK,28197763072,NYQ,Prudential,3.9
"Rocket Companies, Inc.",RKT,24463663104,NYQ,"Rocket Companies,",4.0
Cintas Corporation,CTAS,63598137344,NMS,Cintas,3.8
3M Company,MMM,58033504256,NYQ,3M,3.9
"MetLife, Inc.",MET,52339421184,NYQ,"MetLife,",4.2
McKesson Corporation,MCK,70124568576,NYQ,McKesson,4.0
"Workday, Inc.",WDAY,70873710592,NMS,"Workday,",4.3
"Micron Technology, Inc.",MU,102939607040,NMS,"Micron Technology,",3.9
Eaton Corporation plc,ETN,119011049472,NYQ,Eaton,4.1
AstraZeneca PLC,AZN,206416396288,NMS,AstraZeneca PLC,4.1
"Applied Materials, Inc.",AMAT,165057691648,NMS,"Applied Materials,",4.1
Discover Financial Services,DFS,30126733312,NYQ,Discover Financial Services,4.1
